loan_id,borrower_id,disbursement_date,loan_amount_ngn,loan_term_days,interest_rate_pct,credit_score_at_approval,approval_threshold_override,status,due_date
LNDA38D709,BRW81F99559,2024-03-04,418757,90,24.69,536,False,repaid,2024-06-02
LNB135BC24,BRW9CD2625A,2024-03-29,20038,90,25.17,843,True,written_off,2024-06-27
LNB72C9192,BRW00706C53,2022-07-19,486548,90,41.84,316,False,repaid,2022-10-17
LN88BD95B5,BRW272C9891,2023-04-10,460381,60,41.39,518,False,repaid,2023-06-09
LNB841F952,BRW272C9891,2023-01-27,30495,90,27.86,505,True,repaid,2023-04-27
LN28EBABC7,BRW212482BD,2023-10-05,117684,7,24.12,563,False,repaid,2023-10-12
LN5B4A34D7,BRW5D90C9CA,2022-09-08,131132,60,21.64,370,False,repaid,2022-11-07
LN80228061,BRW042C59D1,2023-02-01,96917,7,41.39,645,False,repaid,2023-02-08
LNCCBEC60A,BRW042C59D1,2023-09-20,36538,30,23.68,394,False,repaid,2023-10-20
LNFC784839,BRW042C59D1,2023-02-12,45654,60,34.04,650,False,repaid,2023-04-13
LN4BD688CC,BRWAA1A319D,2024-07-15,139177,30,42.35,742,True,repaid,2024-08-14
LND2CCC8A7,BRW359B3AB9,2022-12-12,67538,30,27.67,806,False,repaid,2023-01-11
LNB0C70D95,BRW43096EE1,2022-07-13,17326,7,43.13,681,False,repaid,2022-07-20
LNCD164946,BRW8007A732,2023-09-18,186450,7,34.55,439,False,repaid,2023-09-25
LN67492918,BRW8007A732,2024-07-19,45956,30,43.76,849,False,repaid,2024-08-18
LN41401639,BRW8007A732,2022-07-27,85893,90,47.44,456,False,repaid,2022-10-25
LNA8B1D1C6,BRW0A1D445A,2023-06-08,25210,7,44.09,591,False,repaid,2023-06-15
LNC4DF5BEB,BRW0A1D445A,2023-11-20,11561,30,21.71,570,False,repaid,2023-12-20
LNF355E143,BRW0A1D445A,2024-01-12,10166,14,35.32,381,False,repaid,2024-01-26
LN26271AAA,BRWA1A30CBC,2023-04-01,128000,90,20.79,341,False,repaid,2023-06-30
LN648F8CA2,BRWA1A30CBC,2023-05-08,8411,14,32.08,304,False,repaid,2023-05-22
LN876CB7BC,BRW775F6441,2023-12-07,15407,14,39.02,472,False,repaid,2023-12-21
LN1BBCA133,BRW2BCBA828,2024-09-09,83204,7,38.44,821,False,repaid,2024-09-16
LNFAF7213D,BRWDEC826C3,2024-01-12,17291,60,23.77,740,False,repaid,2024-03-12
LNE058CC37,BRWDEC826C3,2023-11-23,415768,14,44.69,594,False,repaid,2023-12-07
LNDDAB793D,BRWDEC826C3,2024-05-24,200762,30,38.74,715,False,repaid,2024-06-23
LN538DBD8F,BRW13C7B4FB,2024-09-11,115217,30,39.94,536,False,active,2024-10-11
LN46436031,BRW13C7B4FB,2024-05-01,122496,30,18.41,515,False,repaid,2024-05-31
LNA9732676,BRWDF99DA6A,2022-12-29,14632,30,26.25,720,False,repaid,2023-01-28
LN488AEF29,BRW9DB261A5,2024-03-12,142584,14,31.12,548,False,repaid,2024-03-26
LND8BC873E,BRW9DB261A5,2023-02-14,91578,7,24.12,361,False,repaid,2023-02-21
LNF3AF9369,BRW8F5CD545,2023-03-22,96416,14,35.59,784,False,repaid,2023-04-05
LNE13E5601,BRW7651F794,2024-03-21,449999,14,18.51,576,True,written_off,2024-04-04
LNE0765CBC,BRWB5EF47F4,2023-10-11,41159,30,26.15,679,False,repaid,2023-11-10
LN63D2CCFF,BRW7ABF5D97,2024-08-27,55322,30,42.29,409,False,repaid,2024-09-26
LNCBA64887,BRW7ABF5D97,2024-07-15,188916,90,27.82,841,True,active,2024-10-13
LN8099CF57,BRWCBFDF489,2023-12-20,27367,30,30.75,411,False,repaid,2024-01-19
LNE0197E73,BRWCBFDF489,2024-05-13,102290,60,23.89,665,True,repaid,2024-07-12
LNB6200CC6,BRWD8075EEB,2022-07-17,28388,90,18.49,804,False,repaid,2022-10-15
LNBA72F2EF,BRW3EC217C6,2023-12-31,20158,90,21.08,722,False,repaid,2024-03-30
LN916C174B,BRW2F959B2C,2023-12-14,13894,30,21.61,399,True,defaulted,2024-01-13
LN5E802A19,BRW2F959B2C,2023-03-15,34480,30,25.51,542,False,repaid,2023-04-14
LN3882BFB8,BRW2F959B2C,2024-02-03,46229,30,38.88,583,False,repaid,2024-03-04
LNF1907F42,BRW1CC7BDCD,2023-10-15,19179,60,26.33,815,False,repaid,2023-12-14
LN600D078C,BRW7C8E36FC,2023-05-24,34645,90,38.02,399,False,repaid,2023-08-22
LNC2D421A7,BRW0CD27F6F,2024-09-20,97027,14,37.85,502,True,active,2024-10-04
LN8963107A,BRWB30A79E3,2022-10-16,146114,7,45.03,742,False,repaid,2022-10-23
LNF7850FCF,BRWCBBE374E,2022-06-08,189731,14,24.35,730,False,repaid,2022-06-22
LN347847DA,BRW72468349,2022-09-20,119768,30,44.97,843,False,repaid,2022-10-20
LNFC86CBD0,BRW41461D37,2023-05-04,15315,90,41.84,759,False,repaid,2023-08-02
LN7FA27207,BRW41461D37,2023-03-13,44733,30,45.82,602,False,repaid,2023-04-12
LN650AF697,BRW41461D37,2024-01-17,64102,14,45.28,846,False,defaulted,2024-01-31
LN6F884134,BRW30059EDA,2024-06-25,8462,60,19.52,537,False,repaid,2024-08-24
LN5E288382,BRW30059EDA,2024-02-12,113307,30,34.47,647,False,defaulted,2024-03-13
LNE1FE4273,BRWC0294DD9,2022-07-16,86625,30,20.14,391,False,repaid,2022-08-15
LNA33618F5,BRWC0294DD9,2024-06-08,10253,30,18.99,582,False,repaid,2024-07-08
LNC596E812,BRW0A1CBA3B,2022-06-28,6586,60,46.59,383,False,repaid,2022-08-27
LN7A62D2BA,BRW89916EC2,2024-08-11,147397,90,27.39,326,False,active,2024-11-09
LNBC380837,BRW8F7019C5,2024-08-22,47310,90,38.04,387,False,active,2024-11-20
LN84C4BD5F,BRW8F7019C5,2023-12-05,37187,30,27.42,595,False,repaid,2024-01-04
LN6E96FBDC,BRW4296DAB6,2023-11-02,6720,30,37.1,567,False,repaid,2023-12-02
LNC8708BA8,BRWEA26C1BD,2024-06-11,39736,30,24.84,425,False,defaulted,2024-07-11
LNAE5CF3C6,BRWDBE38994,2024-04-08,94627,7,30.31,340,False,defaulted,2024-04-15
LNDE8498AD,BRWEB850C14,2023-12-24,28270,30,45.84,366,True,repaid,2024-01-23
LN06229EF4,BRWEB850C14,2023-07-07,491396,14,46.86,305,True,repaid,2023-07-21
LN00C971B3,BRWEB850C14,2024-03-21,36040,14,37.43,687,False,repaid,2024-04-04
LN7ECAB003,BRWB704FD23,2023-02-04,87094,14,37.36,602,False,repaid,2023-02-18
LN98EA217A,BRW2490CFDC,2023-04-11,55429,30,33.85,433,False,repaid,2023-05-11
LN52809319,BRW2490CFDC,2023-01-06,71540,14,29.7,699,False,repaid,2023-01-20
LN79C27D0F,BRW9F0C633A,2024-07-08,24045,30,34.3,534,False,repaid,2024-08-07
LN68F47636,BRW4DA78BEA,2022-12-14,6524,90,33.39,721,False,repaid,2023-03-14
LND8B1D404,BRW54959820,2023-11-26,6474,30,26.26,812,False,repaid,2023-12-26
LNE4E4F6FB,BRW54959820,2024-06-12,35518,90,24.14,358,False,repaid,2024-09-10
LN8E13D1A9,BRW54959820,2023-01-08,28269,14,39.85,622,False,repaid,2023-01-22
LN2778286B,BRWC75F7E8E,2024-09-03,11198,14,23.96,426,False,repaid,2024-09-17
LN5B96242B,BRWC75F7E8E,2024-01-29,49484,7,19.18,714,False,repaid,2024-02-05
LND7B2229B,BRW39F7BB33,2022-07-06,182353,60,46.82,635,False,repaid,2022-09-04
LN02EBF7A2,BRWCE1574AA,2024-08-06,205596,30,18.88,513,False,repaid,2024-09-05
LN71C91431,BRWCE1574AA,2022-09-18,32198,30,29.32,836,False,repaid,2022-10-18
LN206AE592,BRWCE1574AA,2023-09-27,119177,30,45.5,422,False,repaid,2023-10-27
LN06B1AA47,BRWD869FF90,2024-04-27,140648,14,33.78,378,True,defaulted,2024-05-11
LN7FEF8FAF,BRWD869FF90,2024-07-30,12133,30,18.79,706,False,repaid,2024-08-29
LND9AA6948,BRWD869FF90,2022-10-21,101041,60,33.18,461,False,repaid,2022-12-20
LN428879AA,BRW94330648,2023-09-06,27131,14,26.82,337,False,repaid,2023-09-20
LNF8885E75,BRW45D18BC5,2023-07-23,146164,90,30.86,645,False,repaid,2023-10-21
LN12AA2FDD,BRW0821C052,2024-07-01,11290,7,44.24,318,False,repaid,2024-07-08
LN56B33051,BRW0821C052,2022-07-27,18315,30,29.59,390,False,repaid,2022-08-26
LNBDDAF98F,BRW0821C052,2024-05-02,252401,30,19.56,523,True,repaid,2024-06-01
LN6F28CEA7,BRW65A29E0E,2023-12-16,78515,14,45.07,796,False,repaid,2023-12-30
LN6052F3AA,BRW54290F32,2023-11-20,24031,60,41.41,305,False,repaid,2024-01-19
LN2B04D9FE,BRW54290F32,2023-05-17,36253,14,36.44,347,False,repaid,2023-05-31
LNF5A21888,BRW62A8FC6F,2022-09-13,34591,60,23.45,366,False,repaid,2022-11-12
LND60FF0BF,BRW6B923330,2023-09-07,93412,90,29.28,730,False,repaid,2023-12-06
LN6AA34461,BRW0C56F398,2023-03-31,169591,60,35.38,602,False,repaid,2023-05-30
LN0F392904,BRW0C56F398,2024-03-14,88518,90,27.29,601,True,repaid,2024-06-12
LNA72176AB,BRW047AF55F,2022-12-17,78405,90,47.07,528,False,repaid,2023-03-17
LNA02EB148,BRW047AF55F,2023-07-19,212039,30,31.72,784,True,repaid,2023-08-18
LNC5719C0F,BRW9FDF1CA5,2022-07-02,106599,30,38.1,533,False,repaid,2022-08-01
LNBC68831E,BRW484981ED,2023-06-06,86313,60,46.8,591,False,repaid,2023-08-05
LN4CCB20DD,BRW484981ED,2024-04-10,14336,14,34.34,450,False,repaid,2024-04-24
LN8DB35C1A,BRWD7FD2ECB,2024-04-07,41085,14,34.85,374,False,repaid,2024-04-21
LNA5B111EA,BRW0BA77C55,2022-09-09,88199,60,40.51,621,False,repaid,2022-11-08
LN937822CB,BRW0BA77C55,2023-02-13,22501,60,44.97,618,False,repaid,2023-04-14
LN4F396138,BRWD770BD98,2024-09-30,36353,90,44.56,826,False,active,2024-12-29
LN57FE24BF,BRWD770BD98,2022-08-04,12653,90,28.05,383,False,repaid,2022-11-02
LNA48AC4B0,BRWD770BD98,2024-09-21,8140,90,20.19,585,False,active,2024-12-20
LN0424A3DB,BRWC398AEF2,2022-07-26,186789,30,19.51,753,False,repaid,2022-08-25
LN41CCAC21,BRWC398AEF2,2023-06-13,120811,14,22.87,751,False,repaid,2023-06-27
LN10515488,BRW06CA8EC8,2023-09-03,157911,90,40.38,652,True,repaid,2023-12-02
LN4310685E,BRW06CA8EC8,2023-10-17,225006,60,29.92,368,False,repaid,2023-12-16
LN8532BF76,BRW75FA49AF,2023-11-29,17797,14,27.43,391,False,repaid,2023-12-13
LN0DFDDF84,BRW26A477FB,2022-11-23,31300,14,47.88,381,False,repaid,2022-12-07
LND06F1258,BRW26A477FB,2022-11-16,10150,60,33.4,524,False,repaid,2023-01-15
LN38BED6BC,BRW4F5AA447,2022-10-14,40790,30,34.36,523,False,repaid,2022-11-13
LN25E2016F,BRW4F5AA447,2023-04-11,8223,14,42.52,705,False,repaid,2023-04-25
LN1F27EDD9,BRWA268D702,2023-03-19,168421,90,45.83,404,False,repaid,2023-06-17
LN58B2800B,BRW89E377F9,2024-06-28,289296,60,32.75,376,True,defaulted,2024-08-27
LNA32CB239,BRW89E377F9,2024-09-18,16953,30,40.04,729,False,active,2024-10-18
LNFD1BDC21,BRW89E377F9,2023-10-17,164801,60,44.3,537,False,repaid,2023-12-16
LN6F1D61C2,BRWAA865B2B,2022-11-29,25869,30,35.66,760,False,written_off,2022-12-29
LN5D57246E,BRWAA865B2B,2024-06-06,31396,30,25.08,362,False,repaid,2024-07-06
LNF98DFA1D,BRW903128A1,2024-08-07,6013,60,23.41,447,False,active,2024-10-06
LN3E253139,BRW91A53FFB,2023-05-02,10648,60,21.15,643,False,repaid,2023-07-01
LND94A0001,BRW91A53FFB,2023-02-27,69101,30,27.82,478,False,repaid,2023-03-29
LN65137701,BRW9555F95E,2023-09-11,196153,60,34.26,574,False,repaid,2023-11-10
LN8212FE41,BRW71162E5C,2022-06-17,59906,90,47.25,535,False,repaid,2022-09-15
LNF00A432E,BRW71162E5C,2024-02-03,183002,60,40.06,605,False,repaid,2024-04-03
LND98A7B76,BRW92F4737E,2024-03-06,10505,7,45.39,819,False,repaid,2024-03-13
LNDEA4DA5D,BRW057CE687,2023-08-26,16733,7,47.16,699,False,repaid,2023-09-02
LNADAF4B2D,BRW057CE687,2022-12-09,45342,7,47.2,379,False,defaulted,2022-12-16
LN55637F95,BRW9EAFC731,2023-11-27,40518,30,33.48,457,False,repaid,2023-12-27
LN66D49C27,BRWA4127E41,2024-07-07,189498,7,36.76,300,False,repaid,2024-07-14
LN27DD7BF8,BRW54BDA0C0,2022-07-24,6959,60,18.92,639,False,repaid,2022-09-22
LNB1EBE04D,BRW82860D30,2023-03-14,16528,90,35.81,486,False,repaid,2023-06-12
LN26B373A0,BRW2212EC49,2023-05-28,127114,60,43.4,436,False,repaid,2023-07-27
LNF6D62A67,BRW48869A9C,2024-09-28,17751,90,45.48,468,False,active,2024-12-27
LN94792221,BRW48869A9C,2022-12-09,293271,30,23.16,651,False,repaid,2023-01-08
LN762BF4CE,BRWCB04B6AD,2023-01-13,140001,90,46.19,678,False,repaid,2023-04-13
LNDE2752AB,BRWCB04B6AD,2022-09-17,30638,30,46.49,801,False,repaid,2022-10-17
LN12DB559F,BRWCB04B6AD,2023-12-25,134002,30,23.82,594,False,repaid,2024-01-24
LN38C1437F,BRW190F3EC4,2022-10-01,259348,90,42.99,795,False,repaid,2022-12-30
LN122B1AD0,BRW190F3EC4,2023-05-08,59881,30,26.81,515,False,repaid,2023-06-07
LNAD1C5D39,BRW6D04974A,2024-09-25,12026,30,43.38,519,False,active,2024-10-25
LN11D015C0,BRW21218D16,2023-01-30,34316,60,43.93,572,False,repaid,2023-03-31
LN27E3F87A,BRW3CEE3BBE,2023-03-18,10710,90,21.66,692,False,repaid,2023-06-16
LN3E5C8EFA,BRW3CEE3BBE,2024-01-27,65766,30,33.8,306,True,written_off,2024-02-26
LN9826DA09,BRW971374F1,2023-05-23,136742,30,43.92,738,False,repaid,2023-06-22
LN91F3B9B6,BRW971374F1,2024-01-19,34476,30,33.31,471,False,repaid,2024-02-18
LND8F9BF5F,BRW971374F1,2024-06-28,191912,90,27.52,732,False,repaid,2024-09-26
LN31F0FCFA,BRW63001158,2024-02-19,359668,14,30.84,421,False,repaid,2024-03-04
LNA94A6C31,BRW63001158,2023-05-07,5410,7,37.42,614,False,repaid,2023-05-14
LNE644724F,BRWB94301F0,2023-01-29,12584,14,33.65,305,False,repaid,2023-02-12
LNC9F47094,BRW0A9385B1,2023-08-10,16937,30,35.59,832,False,repaid,2023-09-09
LN7B2C9317,BRW0A9385B1,2024-06-03,37740,30,30.4,751,False,repaid,2024-07-03
LN8BE355A5,BRWCB331157,2022-10-11,38771,30,23.19,371,False,repaid,2022-11-10
LNDBFF67AC,BRWCB331157,2023-12-09,85056,60,18.21,429,False,written_off,2024-02-07
LN67F5116B,BRWFAE15B3B,2022-09-03,5531,7,34.58,568,False,repaid,2022-09-10
LNF297BDF1,BRWE0A3F5F4,2023-11-28,155913,14,31.93,766,True,defaulted,2023-12-12
LN49220C5D,BRW0363BF99,2023-06-07,22408,30,33.33,333,False,repaid,2023-07-07
LN9C48ED42,BRWC06D8FF6,2024-04-16,195176,60,39.55,701,True,repaid,2024-06-15
LNF0EE32B2,BRWC06D8FF6,2022-10-02,66600,30,24.52,503,False,repaid,2022-11-01
LN4C58C9C7,BRWE65FB5B2,2024-01-18,6918,90,46.66,519,False,repaid,2024-04-17
LN0E3C749D,BRWE65FB5B2,2024-06-20,26427,30,39.07,447,False,written_off,2024-07-20
LNA1C84375,BRWDA7D4931,2024-01-13,103265,90,31.89,615,False,written_off,2024-04-12
LN91D948DF,BRW0CA2D2F0,2023-10-18,329571,14,42.32,640,True,repaid,2023-11-01
LN4A32B27C,BRW0CA2D2F0,2024-08-02,97307,30,31.2,749,True,repaid,2024-09-01
LN10B82A6C,BRW56EFBCF3,2023-05-06,476300,14,42.53,415,False,repaid,2023-05-20
LNE7BDFEFB,BRWD67DC4AE,2023-12-24,39009,90,39.88,400,False,repaid,2024-03-23
LN673359B6,BRW14635C95,2022-07-26,16355,30,44.54,800,False,repaid,2022-08-25
LNBCDD9B61,BRW14635C95,2023-11-14,164917,30,25.1,681,False,repaid,2023-12-14
LNBC9E1A99,BRWEC7FAD8D,2022-08-02,7650,60,20.46,609,False,repaid,2022-10-01
LNF8E90400,BRWEA40E702,2024-08-22,12174,30,35.12,466,False,repaid,2024-09-21
LNE47C6E39,BRWEA40E702,2022-09-04,93904,7,37.61,394,False,repaid,2022-09-11
LN431D30D3,BRW2B6D9B68,2022-12-15,417886,7,20.79,384,False,repaid,2022-12-22
LNBCCC087D,BRW2B6D9B68,2022-09-26,8173,14,39.01,461,False,repaid,2022-10-10
LN11DD572E,BRWDA5D2F8F,2023-09-21,64026,60,21.14,391,False,repaid,2023-11-20
LN1A8EB1B2,BRW646420F7,2022-07-13,167045,14,23.94,841,False,repaid,2022-07-27
LNE872E628,BRW646420F7,2024-02-28,59706,60,18.4,741,False,repaid,2024-04-28
LN0391093B,BRW646420F7,2022-12-01,48590,30,34.75,588,False,defaulted,2022-12-31
LN8A364A1B,BRW8D0074FD,2023-11-20,371254,14,18.51,453,False,repaid,2023-12-04
LNDDA1D224,BRW58264830,2022-12-16,141744,60,18.04,367,False,repaid,2023-02-14
LN572D4A5D,BRW58264830,2023-01-06,140503,60,24.87,808,False,repaid,2023-03-07
LN07F84190,BRW200069AE,2022-10-24,32778,14,21.91,675,False,repaid,2022-11-07
LN87F5521C,BRW5D82651A,2023-02-21,273844,90,22.86,355,False,repaid,2023-05-22
LN4CCC8A07,BRW5D82651A,2023-01-23,65810,30,20.56,362,False,repaid,2023-02-22
LN2F1DF99A,BRWE073A0C0,2024-01-26,84076,7,28.27,843,False,repaid,2024-02-02
LN52468362,BRW0A170D8A,2022-11-10,51987,60,28.9,592,True,defaulted,2023-01-09
LNBAF97CB8,BRW85B7F49D,2023-10-22,46932,30,35.7,615,False,repaid,2023-11-21
LN99F02852,BRW85B7F49D,2024-08-06,124723,90,22.11,552,False,active,2024-11-04
LNC4A6C81E,BRW85B7F49D,2024-09-07,33454,14,33.43,360,False,repaid,2024-09-21
LN98BDAA81,BRW2407F9AE,2022-06-28,32038,60,32.67,708,False,repaid,2022-08-27
LNE268C190,BRWACC8E019,2022-07-14,38872,30,21.25,451,False,repaid,2022-08-13
LN5F2C8F23,BRWDFB672C3,2022-08-02,17811,30,24.88,404,False,repaid,2022-09-01
LNC28BEE6B,BRWFD9C67AE,2022-07-19,478237,60,23.25,803,False,repaid,2022-09-17
LN650EF366,BRW47ABD0D6,2022-06-26,33514,7,39.1,840,False,repaid,2022-07-03
LN145D985B,BRW47ABD0D6,2024-02-01,103625,14,44.17,641,False,repaid,2024-02-15
LNA09C7715,BRWC83B8DAC,2023-07-18,116643,14,35.55,747,False,repaid,2023-08-01
LNFF2E237F,BRWD80E2C58,2024-09-28,36129,14,27.32,572,False,active,2024-10-12
LNCD2184A1,BRWF9169579,2024-01-25,9444,7,25.57,797,False,repaid,2024-02-01
LN9A825BE2,BRW0FF2594F,2024-04-01,20463,14,38.03,576,False,repaid,2024-04-15
LNE48CDD11,BRW4231C865,2023-04-21,7771,60,32.91,604,False,repaid,2023-06-20
LNCD916264,BRW4231C865,2023-07-10,179191,60,21.61,503,False,repaid,2023-09-08
LN287BA167,BRW287B718F,2024-02-08,415424,30,46.58,401,True,repaid,2024-03-09
LN4F9899F9,BRWAF97C1C1,2024-01-06,20289,14,38.09,515,False,repaid,2024-01-20
LNBF40BBEB,BRWA79C58CD,2024-01-18,12467,30,47.64,570,False,repaid,2024-02-17
LNC8816FAA,BRWA79C58CD,2024-04-07,19047,14,43.23,475,False,repaid,2024-04-21
LN1ED1772D,BRW589DC654,2024-04-06,118025,7,40.53,385,True,repaid,2024-04-13
LNB9D4D28A,BRW589DC654,2024-01-07,167593,30,39.93,385,False,repaid,2024-02-06
LN4931E4E0,BRW0BCF4C5D,2024-03-02,183227,30,44.82,372,False,repaid,2024-04-01
LNE711F301,BRW219EA9C6,2022-10-20,12880,14,33.21,538,False,repaid,2022-11-03
LN1AC0535A,BRW1EE2B9E0,2022-06-12,9044,30,20.81,728,False,repaid,2022-07-12
LN5E600DA8,BRW89CC1FC1,2022-12-11,10578,30,32.99,386,False,repaid,2023-01-10
LNFB9EF33E,BRW89CC1FC1,2024-09-14,493439,30,35.36,454,False,active,2024-10-14
LNBAD74261,BRW29AC8565,2023-10-02,120028,60,41.71,534,False,repaid,2023-12-01
LN00807DF5,BRW29AC8565,2024-08-18,12372,30,44.81,554,True,repaid,2024-09-17
LN169B155E,BRW29AC8565,2024-05-08,19688,30,37.76,771,False,repaid,2024-06-07
