repayment_id,loan_id,borrower_id,payment_date,amount_paid_ngn,payment_method,days_past_due,partial_payment
RPY0D1A5681,LN64F4EA4E,BRW76E9C179,2023-03-17,153126,USSD,0,False
RPYF543DA3C,LN15434D4F,BRWE9153421,2024-07-26,21456,Direct Debit,32,True
RPYEE247A78,LND98E6F74,BRW7BE06FC6,2022-09-29,49458,Cash Agent,0,True
RPY4050F63A,LND98E6F74,BRW7BE06FC6,2022-10-18,33601,USSD,7,False
RPY00153345,LNF5FBDDB2,BRW7BE06FC6,2024-07-05,82144,Cash Agent,0,False
RPY8A769EF7,LN4186C40B,BRW28C0B490,2022-12-06,27615,Direct Debit,0,False
RPY656A740C,LN9E22ECDB,BRWCF38CCA1,2024-05-31,15759,USSD,0,False
RPY50EDC896,LNF864199C,BRWCF38CCA1,2024-03-07,23209,Bank Transfer,0,False
RPY5EC30551,LNE7A0EAD3,BRW83E1DC23,2022-06-17,37838,Bank Transfer,0,False
RPY69C1BEFE,LN3CF989C9,BRW81F99559,2024-02-29,7583,USSD,0,False
RPY76F2AE93,LNDA38D709,BRW81F99559,2024-05-28,212022,Bank Transfer,0,True
RPY753D6F46,LNDA38D709,BRW81F99559,2024-06-09,206735,USSD,3,False
RPY9CD1EB82,LNB135BC24,BRW9CD2625A,2024-07-25,2248,USSD,26,True
RPY2B7478B7,LNB72C9192,BRW00706C53,2022-10-15,486548,Cash Agent,0,False
RPYC81CD5BF,LN88BD95B5,BRW272C9891,2023-06-08,460381,Cash Agent,0,False
RPY7BB49744,LNB841F952,BRW272C9891,2023-04-25,30495,Cash Agent,0,False
RPYB8A11348,LN28EBABC7,BRW212482BD,2023-10-09,117684,USSD,0,False
RPYD748F909,LN5B4A34D7,BRW5D90C9CA,2022-11-02,66571,USSD,0,True
RPYF31EAB2C,LN5B4A34D7,BRW5D90C9CA,2022-11-15,64561,Direct Debit,2,False
RPY714F6D5A,LN80228061,BRW042C59D1,2023-01-27,60831,USSD,0,True
RPYE5966843,LN80228061,BRW042C59D1,2023-02-13,36086,USSD,1,False
RPY4D583B26,LNCCBEC60A,BRW042C59D1,2023-10-17,36538,USSD,0,False
RPY4F991B8C,LNFC784839,BRW042C59D1,2023-04-11,45654,Bank Transfer,0,False
RPY90C4D4C5,LN4BD688CC,BRWAA1A319D,2024-08-13,139177,Cash Agent,0,False
RPY03EB69A0,LND2CCC8A7,BRW359B3AB9,2023-01-10,67538,Cash Agent,0,False
RPY1E97B590,LNB0C70D95,BRW43096EE1,2022-07-20,17326,USSD,0,False
RPYD0EBF0D2,LNCD164946,BRW8007A732,2023-09-22,186450,Cash Agent,0,False
RPYB34BDE78,LN67492918,BRW8007A732,2024-08-18,45956,Cash Agent,0,False
RPY631680FC,LN41401639,BRW8007A732,2022-10-24,85893,Cash Agent,0,False
RPY08F9B3D7,LNA8B1D1C6,BRW0A1D445A,2023-06-14,25210,USSD,0,False
RPY9B38B742,LNC4DF5BEB,BRW0A1D445A,2023-12-06,5612,Cash Agent,0,True
RPYC311705C,LNC4DF5BEB,BRW0A1D445A,2023-12-28,5949,USSD,6,False
RPYEDB79B09,LNF355E143,BRW0A1D445A,2024-01-23,10166,Bank Transfer,0,False
RPY6E04F31C,LN26271AAA,BRWA1A30CBC,2023-06-29,128000,Direct Debit,0,False
RPY747E05E1,LN648F8CA2,BRWA1A30CBC,2023-05-22,8411,USSD,0,False
RPY9B44B160,LN876CB7BC,BRW775F6441,2023-12-19,15407,USSD,0,False
RPY3490ECC2,LN1BBCA133,BRW2BCBA828,2024-09-15,83204,USSD,0,False
RPY3E7EA959,LNFAF7213D,BRWDEC826C3,2024-03-10,17291,USSD,0,False
RPY05665485,LNE058CC37,BRWDEC826C3,2023-12-04,415768,Direct Debit,0,False
RPYB9806D5F,LNDDAB793D,BRWDEC826C3,2024-06-23,200762,Cash Agent,0,False
RPY70B11FDB,LN46436031,BRW13C7B4FB,2024-05-22,68203,USSD,0,True
RPYAA378579,LN46436031,BRW13C7B4FB,2024-06-06,54293,Bank Transfer,1,False
RPYF6F3E04F,LNA9732676,BRWDF99DA6A,2023-01-20,4807,Direct Debit,0,True
RPY5095ECAC,LNA9732676,BRWDF99DA6A,2023-02-02,9825,Direct Debit,3,False
RPYE0920064,LN488AEF29,BRW9DB261A5,2024-03-24,142584,Bank Transfer,0,False
RPYECFB6AA3,LND8BC873E,BRW9DB261A5,2023-02-20,91578,USSD,0,False
RPY897F157B,LNF3AF9369,BRW8F5CD545,2023-04-04,96416,USSD,0,False
RPY57270FED,LNE13E5601,BRW7651F794,2024-04-16,76354,Bank Transfer,25,True
RPY64A3E017,LNE0765CBC,BRWB5EF47F4,2023-10-29,14070,USSD,0,True
RPYB42023E4,LNE0765CBC,BRWB5EF47F4,2023-11-19,27089,USSD,7,False
RPY29BC8DFC,LN63D2CCFF,BRW7ABF5D97,2024-09-23,55322,USSD,0,False
RPYC68F13A2,LN8099CF57,BRWCBFDF489,2024-01-10,16522,Bank Transfer,0,True
RPYB88F71EE,LN8099CF57,BRWCBFDF489,2024-01-27,10845,USSD,3,False
RPYEDA1B9D5,LNE0197E73,BRWCBFDF489,2024-07-11,102290,Bank Transfer,0,False
RPYE3E1F5BD,LNB6200CC6,BRWD8075EEB,2022-10-14,28388,Direct Debit,0,False
RPY39F4455F,LNBA72F2EF,BRW3EC217C6,2024-03-30,20158,Cash Agent,0,False
RPY734319B7,LN916C174B,BRW2F959B2C,2024-02-01,2668,Cash Agent,15,True
RPYF83558E8,LN5E802A19,BRW2F959B2C,2023-04-13,34480,Direct Debit,0,False
RPY36A2494C,LN3882BFB8,BRW2F959B2C,2024-02-27,30070,USSD,0,True
RPYC4AC5BB8,LN3882BFB8,BRW2F959B2C,2024-03-13,16159,Cash Agent,7,False
RPY81CF6FAB,LNF1907F42,BRW1CC7BDCD,2023-12-11,19179,Cash Agent,0,False
RPY072C05B2,LN600D078C,BRW7C8E36FC,2023-08-12,16479,Direct Debit,0,True
RPY1912DD5B,LN600D078C,BRW7C8E36FC,2023-08-23,18166,Bank Transfer,3,False
RPYBCE15D8E,LN8963107A,BRWB30A79E3,2022-10-13,86778,Cash Agent,0,True
RPYB9B08F43,LN8963107A,BRWB30A79E3,2022-11-02,59336,Bank Transfer,3,False
RPYCCEC33FF,LNF7850FCF,BRWCBBE374E,2022-06-22,189731,Cash Agent,0,False
RPY5B13CDBD,LN347847DA,BRW72468349,2022-10-20,119768,Cash Agent,0,False
RPY8FE25BA5,LNFC86CBD0,BRW41461D37,2023-07-18,6973,Direct Debit,0,True
RPY72465F60,LNFC86CBD0,BRW41461D37,2023-08-08,8342,USSD,5,False
RPYF2450580,LN7FA27207,BRW41461D37,2023-04-11,44733,Bank Transfer,0,False
RPYE67F6C34,LN650AF697,BRW41461D37,2024-02-19,23554,Direct Debit,11,True
RPYEFE1EC6E,LN6F884134,BRW30059EDA,2024-08-19,2631,Bank Transfer,0,True
RPYAEAA6DD9,LN6F884134,BRW30059EDA,2024-08-25,5831,Cash Agent,8,False
RPY9CB5BD53,LN5E288382,BRW30059EDA,2024-03-15,17462,Cash Agent,14,True
RPY23E8F551,LNE1FE4273,BRWC0294DD9,2022-08-14,86625,Direct Debit,0,False
RPY04486825,LNA33618F5,BRWC0294DD9,2024-06-26,3567,USSD,0,True
RPY4F298401,LNA33618F5,BRWC0294DD9,2024-07-10,6686,Cash Agent,8,False
RPYACF5F8CB,LNC596E812,BRW0A1CBA3B,2022-08-26,6586,Cash Agent,0,False
RPYE3F7E936,LN84C4BD5F,BRW8F7019C5,2024-01-01,37187,USSD,0,False
RPYD5647B0E,LN6E96FBDC,BRW4296DAB6,2023-11-30,6720,Bank Transfer,0,False
RPYBB861350,LNC8708BA8,BRWEA26C1BD,2024-07-17,4483,Cash Agent,57,True
RPY79FC3051,LNAE5CF3C6,BRWDBE38994,2024-04-25,11918,Direct Debit,34,True
RPYEA4A37C4,LNDE8498AD,BRWEB850C14,2024-01-22,28270,Bank Transfer,0,False
RPY92524438,LN06229EF4,BRWEB850C14,2023-07-19,491396,USSD,0,False
RPYE2859E38,LN00C971B3,BRWEB850C14,2024-03-24,18977,Cash Agent,0,True
RPYD2EC4868,LN00C971B3,BRWEB850C14,2024-04-09,17063,Bank Transfer,9,False
RPYE898AFA8,LN7ECAB003,BRWB704FD23,2023-02-18,87094,Direct Debit,0,False
RPY2ABB1566,LN98EA217A,BRW2490CFDC,2023-05-08,55429,Cash Agent,0,False
RPY49D0A033,LN52809319,BRW2490CFDC,2023-01-17,71540,Bank Transfer,0,False
RPYDB18C1D9,LN79C27D0F,BRW9F0C633A,2024-07-25,14552,Direct Debit,0,True
RPY9643228F,LN79C27D0F,BRW9F0C633A,2024-08-09,9493,Direct Debit,2,False
RPY76BACEC5,LN68F47636,BRW4DA78BEA,2023-03-04,2044,Bank Transfer,0,True
RPY67721267,LN68F47636,BRW4DA78BEA,2023-03-24,4480,Bank Transfer,4,False
RPY4BC48C0F,LND8B1D404,BRW54959820,2023-12-24,6474,Bank Transfer,0,False
RPY3DF07BF0,LNE4E4F6FB,BRW54959820,2024-09-07,35518,Cash Agent,0,False
RPYAB60B79D,LN8E13D1A9,BRW54959820,2023-01-20,28269,USSD,0,False
RPYAACD662E,LN2778286B,BRWC75F7E8E,2024-09-17,11198,Cash Agent,0,False
RPY9FD37120,LN5B96242B,BRWC75F7E8E,2024-02-04,49484,USSD,0,False
RPYDE0785E2,LND7B2229B,BRW39F7BB33,2022-09-01,182353,USSD,0,False
RPY7B407CCD,LN02EBF7A2,BRWCE1574AA,2024-09-03,205596,Direct Debit,0,False
RPY152AFD87,LN71C91431,BRWCE1574AA,2022-10-07,18841,Direct Debit,0,True
RPY5C91614F,LN71C91431,BRWCE1574AA,2022-10-25,13357,USSD,6,False
RPY319B041A,LN206AE592,BRWCE1574AA,2023-10-26,119177,Cash Agent,0,False
RPY42D50072,LN7FEF8FAF,BRWD869FF90,2024-08-26,12133,Direct Debit,0,False
RPY9ED7AF61,LND9AA6948,BRWD869FF90,2022-12-18,101041,Cash Agent,0,False
RPY28A79AC5,LN428879AA,BRW94330648,2023-09-17,27131,Direct Debit,0,False
RPY806DC62A,LNF8885E75,BRW45D18BC5,2023-10-18,146164,Direct Debit,0,False
RPY74FED849,LN12AA2FDD,BRW0821C052,2024-07-05,11290,USSD,0,False
RPYB3958A48,LN56B33051,BRW0821C052,2022-08-26,18315,Direct Debit,0,False
RPY9FC6628F,LNBDDAF98F,BRW0821C052,2024-05-30,252401,Bank Transfer,0,False
RPY980503DF,LN6F28CEA7,BRW65A29E0E,2023-12-30,78515,Bank Transfer,0,False
RPY82CAC7FD,LN6052F3AA,BRW54290F32,2024-01-16,24031,Cash Agent,0,False
RPY2500E4BF,LN2B04D9FE,BRW54290F32,2023-05-26,11353,Bank Transfer,0,True
RPYE56DDFCB,LN2B04D9FE,BRW54290F32,2023-06-06,24900,Cash Agent,3,False
RPY43D22B9E,LNF5A21888,BRW62A8FC6F,2022-11-09,34591,Bank Transfer,0,False
RPY0719B711,LND60FF0BF,BRW6B923330,2023-11-21,38270,USSD,0,True
RPY3FA3E130,LND60FF0BF,BRW6B923330,2023-12-12,55142,Cash Agent,1,False
RPYB87F6DF6,LN6AA34461,BRW0C56F398,2023-05-28,169591,Direct Debit,0,False
RPYDD20E43A,LN0F392904,BRW0C56F398,2024-06-12,88518,Cash Agent,0,False
RPY5ABF14DF,LNA72176AB,BRW047AF55F,2023-03-14,78405,Bank Transfer,0,False
RPYB88B3FB0,LNA02EB148,BRW047AF55F,2023-08-17,212039,Cash Agent,0,False
RPYC28AF36E,LNC5719C0F,BRW9FDF1CA5,2022-08-01,106599,Direct Debit,0,False
RPY555D9033,LNBC68831E,BRW484981ED,2023-08-02,86313,USSD,0,False
RPYF4988E44,LN4CCB20DD,BRW484981ED,2024-04-22,14336,Bank Transfer,0,False
RPYF22CF24F,LN8DB35C1A,BRWD7FD2ECB,2024-04-20,41085,Direct Debit,0,False
RPYE808AFAA,LNA5B111EA,BRW0BA77C55,2022-11-06,88199,Bank Transfer,0,False
RPYF92AF557,LN937822CB,BRW0BA77C55,2023-04-13,22501,Bank Transfer,0,False
RPYA3DD181A,LN57FE24BF,BRWD770BD98,2022-10-24,5045,Direct Debit,0,True
RPY09495CDD,LN57FE24BF,BRWD770BD98,2022-11-11,7608,Cash Agent,6,False
RPYEF94CEE3,LN0424A3DB,BRWC398AEF2,2022-08-22,186789,Cash Agent,0,False
RPYEBD5F4E7,LN41CCAC21,BRWC398AEF2,2023-06-24,120811,USSD,0,False
RPY2C94FAA9,LN10515488,BRW06CA8EC8,2023-12-01,157911,Bank Transfer,0,False
RPY1495F4CD,LN4310685E,BRW06CA8EC8,2023-12-14,225006,Bank Transfer,0,False
RPY668BFE6E,LN8532BF76,BRW75FA49AF,2023-12-13,17797,Cash Agent,0,False
RPYADA244ED,LN0DFDDF84,BRW26A477FB,2022-12-06,31300,Bank Transfer,0,False
RPY2DD86B77,LND06F1258,BRW26A477FB,2023-01-02,4192,Bank Transfer,0,True
RPYD3C586A0,LND06F1258,BRW26A477FB,2023-01-19,5958,Cash Agent,9,False
RPY7873FB65,LN38BED6BC,BRW4F5AA447,2022-11-13,40790,USSD,0,False
RPY1FB24655,LN25E2016F,BRW4F5AA447,2023-04-14,4362,Cash Agent,0,True
RPY17679238,LN25E2016F,BRW4F5AA447,2023-05-04,3861,Cash Agent,7,False
RPY6BE4E896,LN1F27EDD9,BRWA268D702,2023-06-17,168421,Direct Debit,0,False
RPY763578C5,LNFD1BDC21,BRW89E377F9,2023-12-14,164801,Bank Transfer,0,False
RPYDA1D43B2,LN6F1D61C2,BRWAA865B2B,2022-12-31,2981,Bank Transfer,36,True
RPYB545E8A6,LN5D57246E,BRWAA865B2B,2024-06-28,9589,Cash Agent,0,True
RPYD20405F1,LN5D57246E,BRWAA865B2B,2024-07-07,21807,USSD,8,False
RPYBCBE15C1,LN3E253139,BRW91A53FFB,2023-06-18,5830,Direct Debit,0,True
RPY097244BA,LN3E253139,BRW91A53FFB,2023-07-05,4818,Bank Transfer,8,False
RPY0FE3531F,LND94A0001,BRW91A53FFB,2023-03-14,28051,Direct Debit,0,True
RPY09906D0C,LND94A0001,BRW91A53FFB,2023-04-02,41050,Cash Agent,5,False
RPYE1588DB2,LN65137701,BRW9555F95E,2023-11-09,196153,Cash Agent,0,False
RPY7CB0372C,LN8212FE41,BRW71162E5C,2022-09-08,23427,Bank Transfer,0,True
RPY242E1312,LN8212FE41,BRW71162E5C,2022-09-22,36479,USSD,10,False
RPY41292E82,LNF00A432E,BRW71162E5C,2024-04-02,183002,Cash Agent,0,False
RPY9E3D48B0,LND98A7B76,BRW92F4737E,2024-03-06,6267,Bank Transfer,0,True
RPYF17D4327,LND98A7B76,BRW92F4737E,2024-03-17,4238,Cash Agent,10,False
RPY2FE507D1,LNDEA4DA5D,BRW057CE687,2023-08-26,8439,USSD,0,True
RPYC2684746,LNDEA4DA5D,BRW057CE687,2023-09-03,8294,Cash Agent,3,False
RPY7F449C66,LN55637F95,BRW9EAFC731,2023-12-25,40518,Direct Debit,0,False
RPY57BD5D30,LN66D49C27,BRWA4127E41,2024-07-11,189498,Direct Debit,0,False
RPY078087BB,LN27DD7BF8,BRW54BDA0C0,2022-09-22,6959,Direct Debit,0,False
RPYC78FA98D,LNB1EBE04D,BRW82860D30,2023-06-12,16528,USSD,0,False
RPY303D8F0B,LN26B373A0,BRW2212EC49,2023-07-26,127114,Bank Transfer,0,False
RPYE950F1A0,LN94792221,BRW48869A9C,2023-01-07,293271,Cash Agent,0,False
RPY0417BAE7,LN762BF4CE,BRWCB04B6AD,2023-04-11,140001,USSD,0,False
RPY4BC53E99,LNDE2752AB,BRWCB04B6AD,2022-10-16,30638,Bank Transfer,0,False
RPY79A9387A,LN12DB559F,BRWCB04B6AD,2024-01-22,134002,Bank Transfer,0,False
RPY72DC7E8B,LN38C1437F,BRW190F3EC4,2022-12-29,259348,Bank Transfer,0,False
RPYEE2F8DC1,LN122B1AD0,BRW190F3EC4,2023-06-04,59881,Bank Transfer,0,False
RPY793EB495,LN11D015C0,BRW21218D16,2023-03-30,34316,Direct Debit,0,False
RPY14299C3F,LN27E3F87A,BRW3CEE3BBE,2023-06-08,7483,Bank Transfer,0,True
RPY176D2450,LN27E3F87A,BRW3CEE3BBE,2023-06-22,3227,Direct Debit,2,False
RPYF81FE825,LN3E5C8EFA,BRW3CEE3BBE,2024-03-25,16604,Bank Transfer,41,True
RPY1DC0BAA6,LN9826DA09,BRW971374F1,2023-06-12,65231,Direct Debit,0,True
RPYE5B277FB,LN9826DA09,BRW971374F1,2023-06-24,71511,Cash Agent,6,False
RPY05594103,LN91F3B9B6,BRW971374F1,2024-02-12,23977,Cash Agent,0,True
RPY2C9BF811,LN91F3B9B6,BRW971374F1,2024-02-19,10499,Cash Agent,3,False
RPY742B1F8E,LND8F9BF5F,BRW971374F1,2024-09-24,191912,USSD,0,False
RPY20C8308E,LN31F0FCFA,BRW63001158,2024-02-19,140233,Cash Agent,0,True
RPYD9C47A38,LN31F0FCFA,BRW63001158,2024-03-11,219435,Direct Debit,6,False
RPY77E1ADAD,LNA94A6C31,BRW63001158,2023-05-07,2324,Cash Agent,0,True
RPY50C96AFD,LNA94A6C31,BRW63001158,2023-05-21,3086,USSD,8,False
RPYAA1233C7,LNE644724F,BRWB94301F0,2023-02-12,12584,Direct Debit,0,False
RPYDA9E759F,LNC9F47094,BRW0A9385B1,2023-09-08,16937,Direct Debit,0,False
RPY9DDC81FA,LN7B2C9317,BRW0A9385B1,2024-07-02,37740,Direct Debit,0,False
RPY8DC9D185,LN8BE355A5,BRWCB331157,2022-11-10,38771,USSD,0,False
RPYB1DF2412,LN67F5116B,BRWFAE15B3B,2022-09-08,5531,Direct Debit,0,False
RPYE81D75EB,LN49220C5D,BRW0363BF99,2023-06-22,10600,USSD,0,True
RPYF24F75F6,LN49220C5D,BRW0363BF99,2023-07-09,11808,Cash Agent,8,False
RPY19F71AA5,LN9C48ED42,BRWC06D8FF6,2024-05-31,126483,USSD,0,True
RPY9E834C32,LN9C48ED42,BRWC06D8FF6,2024-06-21,68693,Direct Debit,10,False
RPYF2581391,LNF0EE32B2,BRWC06D8FF6,2022-10-29,66600,Cash Agent,0,False
RPY6F3E6536,LN4C58C9C7,BRWE65FB5B2,2024-04-16,6918,Bank Transfer,0,False
RPY83E7D84F,LN0E3C749D,BRWE65FB5B2,2024-07-29,10418,USSD,48,True
RPYBBEC0487,LNA1C84375,BRWDA7D4931,2024-04-22,13639,Direct Debit,52,True
RPYF5240313,LN91D948DF,BRW0CA2D2F0,2023-10-30,329571,Bank Transfer,0,False
RPY78E811C8,LN4A32B27C,BRW0CA2D2F0,2024-09-01,97307,Cash Agent,0,False
RPYFCCECF63,LN10B82A6C,BRW56EFBCF3,2023-05-19,476300,Direct Debit,0,False
RPY1FECCE77,LNE7BDFEFB,BRWD67DC4AE,2024-03-20,39009,USSD,0,False
RPYAB2B7CAE,LN673359B6,BRW14635C95,2022-08-23,16355,Bank Transfer,0,False
RPYD029704D,LNBCDD9B61,BRW14635C95,2023-12-14,164917,Bank Transfer,0,False
RPYCCB74577,LNBC9E1A99,BRWEC7FAD8D,2022-09-30,7650,Direct Debit,0,False
RPY6E8F2B78,LNF8E90400,BRWEA40E702,2024-09-09,7518,Bank Transfer,0,True
RPYA9EF618F,LNF8E90400,BRWEA40E702,2024-09-30,4656,Direct Debit,10,False
RPYE6E18341,LNE47C6E39,BRWEA40E702,2022-09-10,93904,USSD,0,False
RPY5AF90DDF,LN431D30D3,BRW2B6D9B68,2022-12-22,417886,Cash Agent,0,False
RPY3313F55C,LNBCCC087D,BRW2B6D9B68,2022-10-10,8173,Bank Transfer,0,False
RPYD3BCBB0C,LN11DD572E,BRWDA5D2F8F,2023-11-18,64026,Bank Transfer,0,False
RPYE2691996,LN1A8EB1B2,BRW646420F7,2022-07-25,167045,Direct Debit,0,False
RPYA4ED0CEC,LNE872E628,BRW646420F7,2024-04-27,59706,Bank Transfer,0,False
RPY9D680BA1,LN0391093B,BRW646420F7,2023-01-04,2844,USSD,18,True
RPY5D3B4EBF,LN8A364A1B,BRW8D0074FD,2023-12-02,371254,Direct Debit,0,False
RPY003C3D1E,LNDDA1D224,BRW58264830,2023-02-03,60543,Bank Transfer,0,True
RPY4036D621,LNDDA1D224,BRW58264830,2023-02-19,81201,Bank Transfer,2,False
RPYE4659BE8,LN572D4A5D,BRW58264830,2023-03-07,140503,Direct Debit,0,False
RPYCDB9DE59,LN07F84190,BRW200069AE,2022-10-30,14825,USSD,0,True
RPYE9D99C47,LN07F84190,BRW200069AE,2022-11-12,17953,Cash Agent,2,False
RPY13270545,LN87F5521C,BRW5D82651A,2023-05-20,273844,Bank Transfer,0,False
RPY2146BD84,LN4CCC8A07,BRW5D82651A,2023-02-21,65810,USSD,0,False
RPY1CABA244,LN2F1DF99A,BRWE073A0C0,2024-01-30,84076,Cash Agent,0,False
RPYD86B68D9,LNBAF97CB8,BRW85B7F49D,2023-11-14,27020,Direct Debit,0,True
RPYDE7684FE,LNBAF97CB8,BRW85B7F49D,2023-11-28,19912,Bank Transfer,10,False
RPYBBA5AC2C,LNC4A6C81E,BRW85B7F49D,2024-09-12,17956,USSD,0,True
RPYA3DCECB3,LNC4A6C81E,BRW85B7F49D,2024-09-30,15498,Direct Debit,3,False
RPYFC5CB942,LN98BDAA81,BRW2407F9AE,2022-08-17,21545,Cash Agent,0,True
RPY8F1456C1,LN98BDAA81,BRW2407F9AE,2022-08-29,10493,Cash Agent,10,False
RPYCA11B0DF,LNE268C190,BRWACC8E019,2022-07-30,26901,Direct Debit,0,True
RPY3C11EE49,LNE268C190,BRWACC8E019,2022-08-20,11971,Bank Transfer,6,False
RPY813627A7,LN5F2C8F23,BRWDFB672C3,2022-08-24,9596,Direct Debit,0,True
RPYAF61EE4A,LN5F2C8F23,BRWDFB672C3,2022-09-06,8215,USSD,4,False
RPY61E7C243,LNC28BEE6B,BRWFD9C67AE,2022-09-15,478237,Direct Debit,0,False
RPY7813CD6D,LN650EF366,BRW47ABD0D6,2022-06-30,33514,Direct Debit,0,False
RPYADA80CB1,LN145D985B,BRW47ABD0D6,2024-02-12,103625,Cash Agent,0,False
