borrower_id,age,gender,state,employment_type,monthly_income_est,bvn_verified,signup_date,acquisition_channel
BRW76E9C179,23,F,Enugu,Self-Employed,216079,True,2024-02-09,Agent
BRWE9153421,18,Unspecified,Abuja,Self-Employed,187585,True,2023-06-03,Organic
BRW7BE06FC6,60,M,Oyo,Gig Worker,135247,True,2024-05-03,Social Media
BRW28C0B490,25,F,Anambra,Unemployed,0,True,2023-11-11,Organic
BRWCF38CCA1,56,F,Kano,Salaried,136117,True,2023-09-12,Organic
BRW83E1DC23,26,M,Enugu,Gig Worker,131792,True,2024-07-18,Referral
BRW81F99559,20,M,Kaduna,Self-Employed,112530,True,2023-10-15,Agent
BRW9CD2625A,22,M,Lagos,Self-Employed,224986,True,2024-08-25,Agent
BRW00706C53,58,M,Anambra,Self-Employed,258784,True,2022-05-11,Organic
BRW272C9891,27,M,Rivers,Unemployed,6307,True,2022-12-29,Referral
BRW212482BD,57,F,Plateau,Self-Employed,202702,False,2024-06-04,Organic
BRW5D90C9CA,51,M,Katsina,Salaried,296161,False,2024-03-12,Agent
BRW042C59D1,51,M,Kano,Gig Worker,126266,True,2022-04-21,Social Media
BRWAA1A319D,18,F,Enugu,Self-Employed,92316,True,2024-04-20,Referral
BRW359B3AB9,23,M,Oyo,Salaried,181255,False,2024-09-17,Referral
BRW43096EE1,27,Unspecified,Anambra,Self-Employed,218131,True,2022-01-29,Organic
BRW8007A732,63,M,Ogun,Salaried,219180,True,2024-01-17,Referral
BRW0A1D445A,30,F,Oyo,Unemployed,0,True,2023-03-23,Organic
BRWA1A30CBC,60,F,Katsina,Self-Employed,228594,True,2023-01-08,Social Media
BRW775F6441,61,F,Katsina,Unemployed,0,False,2023-06-04,Social Media
BRW2BCBA828,29,F,Rivers,Self-Employed,117504,True,2024-08-20,Social Media
BRWDEC826C3,48,M,Anambra,Salaried,378375,False,2022-11-08,Organic
BRW13C7B4FB,30,M,Enugu,Self-Employed,211627,True,2022-08-07,Social Media
BRWDF99DA6A,51,M,Anambra,Unemployed,0,True,2023-09-27,Social Media
BRW9DB261A5,52,M,Borno,Gig Worker,108184,True,2022-01-26,Organic
BRW8F5CD545,63,M,Delta,Self-Employed,241454,False,2023-08-13,Organic
BRW7651F794,44,M,Katsina,Self-Employed,103959,True,2024-02-08,Agent
BRWB5EF47F4,57,M,Katsina,Gig Worker,48683,True,2022-02-21,Social Media
BRW7ABF5D97,59,F,Imo,Salaried,149908,True,2023-07-27,Social Media
BRWCBFDF489,61,F,Plateau,Gig Worker,100301,True,2024-04-30,Agent
BRWD8075EEB,31,M,Borno,Salaried,328866,True,2023-10-15,Organic
BRW3EC217C6,50,M,Abuja,Self-Employed,102716,True,2022-08-29,Organic
BRW2F959B2C,26,M,Delta,Self-Employed,76273,True,2023-12-25,Organic
BRW1CC7BDCD,29,M,Rivers,Salaried,324278,False,2023-02-03,Agent
BRW7C8E36FC,37,F,Ogun,Gig Worker,132293,True,2022-01-07,Agent
BRW0CD27F6F,25,F,Delta,Self-Employed,273738,True,2024-01-23,Social Media
BRWB30A79E3,38,M,Enugu,Salaried,195040,True,2022-12-11,Referral
BRWCBBE374E,51,M,Kano,Gig Worker,130166,False,2023-07-01,Organic
BRW72468349,29,M,Delta,Self-Employed,47104,True,2023-04-18,Organic
BRW41461D37,24,M,Borno,Salaried,318393,False,2022-10-12,Referral
BRW30059EDA,53,M,Katsina,Salaried,122942,True,2024-09-01,Social Media
BRWC0294DD9,41,M,Lagos,Gig Worker,105426,False,2022-07-24,Referral
BRW0A1CBA3B,39,F,Ogun,Salaried,328282,False,2023-04-22,Referral
BRW89916EC2,49,F,Katsina,Salaried,398372,True,2024-04-18,Organic
BRW8F7019C5,25,M,Imo,Self-Employed,283502,False,2023-01-20,Social Media
BRW4296DAB6,45,F,Rivers,Salaried,442080,True,2024-03-02,Social Media
BRWEA26C1BD,43,Unspecified,Borno,Gig Worker,124363,True,2023-06-30,Social Media
BRWDBE38994,28,M,Delta,Self-Employed,129451,False,2022-04-19,Social Media
BRWEB850C14,27,F,Delta,Gig Worker,80258,True,2023-06-19,Agent
BRWB704FD23,24,F,Enugu,Gig Worker,90539,True,2024-01-19,Social Media
BRW2490CFDC,26,M,Enugu,Salaried,125436,True,2023-04-21,Social Media
BRW9F0C633A,42,F,Kano,Salaried,339158,True,2022-12-30,Referral
BRW4DA78BEA,26,F,Anambra,Gig Worker,111905,True,2024-08-28,Organic
BRW54959820,24,F,Katsina,Self-Employed,185536,True,2023-12-30,Social Media
BRWC75F7E8E,51,M,Rivers,Salaried,196180,True,2023-08-19,Social Media
BRW39F7BB33,35,F,Kaduna,Salaried,471084,True,2022-10-05,Social Media
BRWCE1574AA,23,M,Anambra,Gig Worker,61359,False,2023-12-08,Organic
BRWD869FF90,23,F,Borno,Self-Employed,229945,True,2022-10-17,Agent
BRW94330648,53,M,Lagos,Salaried,269205,True,2022-05-10,Organic
BRW45D18BC5,63,F,Imo,Self-Employed,222823,False,2023-05-18,Organic
BRW0821C052,18,M,Kano,Salaried,330984,False,2022-09-16,Agent
BRW65A29E0E,32,M,Ogun,Gig Worker,72521,True,2022-02-24,Organic
BRW54290F32,52,M,Borno,Unemployed,7791,True,2023-09-03,Referral
BRW62A8FC6F,23,F,Oyo,Self-Employed,158099,False,2023-03-16,Social Media
BRW6B923330,39,M,Borno,Self-Employed,234009,True,2022-08-05,Organic
BRW0C56F398,20,M,Lagos,Salaried,369402,True,2023-12-07,Social Media
BRW047AF55F,25,M,Edo,Salaried,450648,True,2023-12-05,Organic
BRW9FDF1CA5,24,F,Plateau,Gig Worker,97304,True,2022-04-28,Social Media
BRW484981ED,41,M,Oyo,Unemployed,0,True,2024-04-24,Social Media
BRWD7FD2ECB,25,M,Delta,Salaried,441065,False,2023-05-28,Social Media
BRW0BA77C55,30,M,Kaduna,Self-Employed,273156,True,2022-01-27,Organic
BRWD770BD98,62,F,Lagos,Gig Worker,95392,False,2023-11-20,Referral
BRWC398AEF2,36,M,Imo,Gig Worker,42962,True,2022-10-12,Organic
BRW06CA8EC8,37,F,Enugu,Self-Employed,168902,True,2022-12-08,Social Media
BRW75FA49AF,20,F,Oyo,Salaried,295820,True,2023-02-15,Referral
BRW26A477FB,35,M,Abuja,Self-Employed,122448,False,2023-02-18,Agent
BRW4F5AA447,53,M,Lagos,Salaried,364475,True,2023-01-06,Referral
BRWA268D702,33,M,Anambra,Self-Employed,53529,True,2022-10-22,Social Media
BRW89E377F9,44,F,Rivers,Salaried,410313,True,2022-11-15,Social Media
BRWAA865B2B,35,M,Abuja,Salaried,139486,True,2022-06-07,Social Media
BRW903128A1,46,M,Enugu,Self-Employed,111676,False,2022-09-07,Social Media
BRW91A53FFB,21,M,Plateau,Salaried,394246,True,2022-03-13,Organic
BRW9555F95E,50,F,Oyo,Self-Employed,284907,False,2022-10-17,Referral
BRW71162E5C,54,M,Kano,Self-Employed,212999,True,2023-05-11,Social Media
BRW92F4737E,35,F,Edo,Self-Employed,159365,True,2023-12-16,Organic
BRW057CE687,28,M,Katsina,Gig Worker,73841,True,2024-07-24,Referral
BRW9EAFC731,28,F,Kano,Gig Worker,127577,True,2022-02-07,Organic
BRWA4127E41,62,F,Enugu,Salaried,132619,True,2024-07-21,Social Media
BRW54BDA0C0,46,F,Abuja,Self-Employed,211646,True,2024-09-19,Organic
BRW82860D30,39,F,Edo,Self-Employed,61054,True,2023-07-01,Social Media
BRW2212EC49,25,M,Anambra,Gig Worker,119536,True,2022-03-12,Organic
BRW48869A9C,43,F,Delta,Salaried,199268,False,2024-02-18,Referral
BRWCB04B6AD,56,M,Lagos,Self-Employed,221928,True,2024-03-26,Organic
BRW190F3EC4,27,M,Ogun,Self-Employed,104014,True,2022-07-04,Organic
BRW6D04974A,19,F,Enugu,Gig Worker,101226,False,2022-05-27,Organic
BRW21218D16,40,M,Borno,Self-Employed,214808,True,2022-10-22,Referral
BRW3CEE3BBE,21,Unspecified,Oyo,Self-Employed,130587,True,2023-03-11,Referral
BRW971374F1,31,F,Abuja,Salaried,281690,True,2023-08-09,Social Media
BRW63001158,25,Unspecified,Imo,Gig Worker,22875,True,2022-01-09,Social Media
BRWB94301F0,43,F,Katsina,Gig Worker,26428,True,2024-07-14,Agent
BRW0A9385B1,49,M,Rivers,Salaried,264717,True,2023-11-26,Referral
BRWCB331157,49,F,Plateau,Gig Worker,37927,True,2022-02-10,Social Media
BRWFAE15B3B,30,M,Plateau,Self-Employed,231983,True,2024-02-05,Social Media
BRWE0A3F5F4,23,Unspecified,Anambra,Gig Worker,134879,True,2022-10-07,Referral
BRW0363BF99,24,F,Oyo,Gig Worker,83156,True,2022-12-13,Referral
BRWC06D8FF6,32,F,Edo,Salaried,475392,True,2023-11-22,Agent
BRWE65FB5B2,62,M,Delta,Gig Worker,67942,True,2023-07-04,Organic
BRWDA7D4931,28,F,Edo,Gig Worker,54362,True,2023-01-16,Organic
BRW0CA2D2F0,23,M,Ogun,Salaried,374339,True,2022-03-06,Referral
BRW56EFBCF3,31,M,Kano,Gig Worker,105097,True,2022-02-08,Social Media
BRWD67DC4AE,33,M,Enugu,Salaried,361829,True,2024-08-30,Referral
BRW14635C95,61,F,Plateau,Self-Employed,234581,True,2022-04-12,Referral
BRWEC7FAD8D,39,M,Enugu,Unemployed,0,True,2022-08-30,Agent
BRWEA40E702,20,F,Imo,Gig Worker,91364,True,2023-02-12,Organic
BRW2B6D9B68,62,M,Imo,Unemployed,0,True,2022-01-22,Organic
BRWDA5D2F8F,26,F,Anambra,Unemployed,0,True,2022-08-10,Referral
BRW646420F7,23,F,Lagos,Gig Worker,123369,True,2022-05-29,Agent
BRW8D0074FD,34,F,Lagos,Gig Worker,34408,True,2023-01-02,Referral
BRW58264830,23,M,Kano,Salaried,171355,True,2023-06-23,Organic
BRW200069AE,19,M,Abuja,Self-Employed,134906,True,2022-08-15,Agent
BRW5D82651A,19,F,Oyo,Gig Worker,133636,True,2024-09-14,Organic
BRWE073A0C0,64,F,Enugu,Gig Worker,75872,True,2023-03-31,Organic
BRW0A170D8A,20,M,Ogun,Self-Employed,57218,True,2023-07-16,Referral
BRW85B7F49D,28,M,Ogun,Self-Employed,117305,True,2024-03-23,Referral
BRW2407F9AE,55,F,Edo,Gig Worker,120789,True,2023-04-08,Agent
BRWACC8E019,29,M,Abuja,Gig Worker,72262,True,2022-11-17,Referral
BRWDFB672C3,28,M,Edo,Salaried,328652,True,2023-03-19,Organic
BRWFD9C67AE,47,M,Anambra,Gig Worker,92924,True,2023-11-18,Organic
BRW47ABD0D6,27,M,Plateau,Gig Worker,118341,True,2024-09-18,Organic
BRWC83B8DAC,25,M,Imo,Salaried,346030,True,2024-05-17,Organic
BRWD80E2C58,54,M,Rivers,Self-Employed,239912,True,2024-05-15,Social Media
BRWF9169579,49,F,Lagos,Self-Employed,216941,True,2023-11-05,Referral
BRW0FF2594F,24,F,Plateau,Salaried,448416,True,2022-01-07,Organic
BRW4231C865,21,M,Imo,Gig Worker,29120,False,2022-04-04,Referral
BRW287B718F,23,M,Oyo,Self-Employed,129363,True,2024-03-06,Agent
BRWAF97C1C1,37,M,Ogun,Gig Worker,40392,True,2022-03-25,Organic
BRWA79C58CD,42,M,Rivers,Self-Employed,155879,True,2022-04-27,Social Media
BRW589DC654,20,M,Imo,Gig Worker,97743,True,2022-08-14,Social Media
BRW0BCF4C5D,38,F,Borno,Salaried,238030,True,2022-09-19,Organic
BRW219EA9C6,21,M,Delta,Self-Employed,152893,True,2022-08-24,Social Media
BRW1EE2B9E0,53,M,Katsina,Gig Worker,29447,True,2022-01-20,Social Media
BRW89CC1FC1,19,F,Katsina,Salaried,305068,True,2022-10-24,Organic
BRW29AC8565,18,M,Katsina,Salaried,404075,False,2022-04-01,Social Media
BRW0306E712,20,M,Delta,Self-Employed,144975,False,2024-02-03,Social Media
BRW1CE17CA1,26,F,Anambra,Salaried,347640,True,2024-07-16,Referral
BRW5F1362A5,27,M,Kano,Unemployed,26149,True,2022-06-27,Referral
BRW8B89A884,48,F,Imo,Gig Worker,43218,True,2024-02-12,Social Media
BRW78A7C58A,36,F,Imo,Gig Worker,135611,False,2022-11-27,Agent
BRW9D54A594,40,M,Imo,Salaried,115801,True,2022-10-09,Social Media
BRWB940340D,27,M,Lagos,Salaried,322086,True,2022-10-21,Organic
BRW1DD77070,55,F,Delta,Gig Worker,100610,True,2023-07-22,Agent
BRW7F850428,47,F,Kaduna,Salaried,379712,True,2023-05-29,Organic
BRW2FD75E0D,19,Unspecified,Abuja,Salaried,260060,True,2022-06-26,Organic
BRWE5AA4527,45,M,Kaduna,Unemployed,0,False,2023-02-01,Social Media
BRW2FBA145F,26,F,Kaduna,Self-Employed,246891,True,2022-04-07,Social Media
BRW4B7DE7E4,28,F,Ogun,Salaried,424228,False,2022-12-08,Organic
BRW52EE3BC4,42,F,Delta,Unemployed,15165,True,2023-12-27,Agent
BRWE7188658,25,M,Kano,Self-Employed,247529,True,2024-04-28,Agent
BRW842A3AB0,64,M,Kaduna,Unemployed,8062,True,2022-11-13,Organic
BRWA27BC51D,23,Unspecified,Kano,Unemployed,0,True,2024-05-14,Referral
BRW257A7BBF,33,F,Lagos,Self-Employed,233631,True,2024-06-16,Referral
BRW800F841F,21,M,Katsina,Self-Employed,82532,True,2024-04-08,Agent
BRW57006798,46,F,Rivers,Salaried,270997,False,2023-09-18,Organic
BRW01DBDA1F,48,M,Borno,Self-Employed,179987,True,2024-07-14,Referral
BRW1B0214DC,27,M,Delta,Unemployed,0,True,2023-03-05,Agent
BRW4EC90468,52,F,Lagos,Gig Worker,38140,True,2024-06-14,Social Media
BRW06F8AEF2,60,F,Oyo,Gig Worker,87621,True,2022-06-14,Organic
BRW6CEAF6DB,58,M,Plateau,Salaried,309361,True,2023-04-07,Agent
BRW9AF78AE5,60,M,Rivers,Self-Employed,143928,True,2022-03-25,Social Media
BRWB7F03969,18,F,Kano,Unemployed,28419,True,2024-07-28,Referral
BRWB475F95F,44,M,Ogun,Salaried,449904,True,2022-03-23,Organic
BRWBCE0D187,23,F,Delta,Salaried,461280,True,2022-10-23,Organic
BRWEDF15014,21,F,Enugu,Salaried,414994,True,2024-05-06,Agent
BRW965D36A7,37,F,Katsina,Salaried,350205,True,2023-03-16,Organic
BRWC68E7CFE,27,F,Abuja,Self-Employed,89103,True,2023-01-05,Organic
BRW9FE34485,34,M,Lagos,Self-Employed,299085,True,2023-04-27,Organic
BRW65E153DB,28,M,Borno,Self-Employed,235904,True,2022-09-04,Referral
BRW50CA9791,40,F,Kano,Gig Worker,116362,True,2023-07-14,Social Media
BRWE4620A4D,41,M,Katsina,Gig Worker,109742,True,2022-07-06,Referral
BRW6E550C07,19,M,Rivers,Gig Worker,79988,True,2022-07-24,Agent
BRW03CD489A,25,Unspecified,Anambra,Salaried,288784,True,2022-02-07,Referral
BRW19BFD8BF,22,M,Imo,Self-Employed,244692,True,2022-05-08,Referral
BRWA953688C,30,F,Delta,Self-Employed,155274,True,2022-07-11,Social Media
BRWD190D11C,33,M,Delta,Unemployed,0,True,2023-09-09,Agent
BRW22A82FB0,22,M,Imo,Salaried,133790,True,2023-04-02,Referral
BRWB7949498,30,M,Katsina,Gig Worker,66077,False,2022-12-28,Referral
BRWD410E18D,30,F,Abuja,Self-Employed,247481,True,2023-02-20,Social Media
BRW7A88C998,51,M,Edo,Gig Worker,144884,True,2024-03-11,Social Media
BRWC9BB810B,21,M,Delta,Salaried,418251,False,2022-02-03,Referral
BRWA1F4648F,43,M,Kano,Unemployed,0,True,2023-02-12,Social Media
BRW1C92AA56,25,M,Delta,Unemployed,5849,False,2022-05-01,Organic
BRW355A312B,24,M,Plateau,Self-Employed,200399,False,2022-07-24,Organic
BRW7753549F,55,F,Abuja,Self-Employed,275583,True,2024-09-17,Referral
BRW4054BA4E,26,M,Oyo,Salaried,114046,False,2024-05-21,Organic
BRW38A64F7C,45,F,Anambra,Gig Worker,42818,True,2022-07-25,Referral
BRW42F59BFB,23,F,Kaduna,Self-Employed,134606,True,2023-07-19,Organic
BRW0BDDFE77,57,Unspecified,Katsina,Salaried,288750,True,2023-02-25,Referral
BRWD44FA97C,53,F,Enugu,Salaried,246213,True,2023-06-14,Social Media
BRW11527A53,56,F,Borno,Gig Worker,103859,False,2023-03-20,Social Media
BRWC66483D4,56,M,Kano,Gig Worker,87908,True,2024-08-15,Referral
BRW41D2E681,27,M,Imo,Unemployed,14307,False,2022-10-09,Organic
BRWFBB20E29,25,F,Ogun,Self-Employed,171746,False,2022-06-07,Organic
BRW9F864473,39,F,Edo,Unemployed,16063,False,2022-03-25,Organic
BRW9A2367C1,40,M,Ogun,Self-Employed,210689,True,2023-10-17,Organic
BRWBC85EF04,57,F,Enugu,Self-Employed,208272,True,2024-04-06,Referral
BRWDAE3BA6E,25,M,Delta,Salaried,111411,True,2022-07-28,Social Media
BRWFD86C707,21,F,Edo,Gig Worker,61853,True,2023-02-13,Organic
BRW6A957ED2,28,M,Abuja,Self-Employed,123654,True,2022-09-11,Organic
BRWB22555CE,19,F,Plateau,Unemployed,0,True,2022-12-02,Agent
BRWE373C1EB,46,M,Anambra,Salaried,163541,True,2024-06-19,Social Media
BRW9DF16879,18,M,Ogun,Unemployed,0,True,2022-02-21,Organic
BRW94906450,38,M,Anambra,Gig Worker,108148,True,2022-04-21,Social Media
BRW7E1FACF9,57,M,Lagos,Gig Worker,120120,True,2023-08-07,Social Media
BRW792599F3,27,M,Borno,Salaried,282558,True,2024-04-25,Agent
BRW1C899B1B,43,M,Borno,Salaried,130688,False,2023-07-26,Agent
BRWA19F113A,48,M,Lagos,Salaried,346926,True,2022-05-21,Referral
BRW9E1FE2D7,51,F,Anambra,Self-Employed,79043,True,2024-08-11,Referral
BRWB4E0CA8D,22,F,Anambra,Unemployed,29226,False,2023-06-30,Social Media
BRW7E93B610,35,M,Imo,Self-Employed,44361,True,2023-03-03,Social Media
BRWEDCA4E96,51,F,Ogun,Gig Worker,110183,True,2024-09-17,Referral
BRW27DCA2E2,63,F,Ogun,Self-Employed,99649,True,2023-06-21,Referral
BRWBA40CB9A,39,F,Rivers,Gig Worker,39369,True,2024-08-28,Referral
BRW1F62B369,22,M,Katsina,Self-Employed,149780,True,2023-05-29,Referral
BRW2B2096FF,59,F,Katsina,Gig Worker,116447,True,2022-08-01,Social Media
BRWD96237D0,64,M,Kano,Self-Employed,138782,True,2023-06-30,Social Media
BRW36C45CBD,27,F,Borno,Gig Worker,114493,True,2023-09-17,Social Media
BRWDBBD7FBF,62,M,Oyo,Salaried,236499,True,2023-12-23,Organic
BRW81C6DE17,45,F,Plateau,Salaried,262873,True,2022-10-08,Organic
BRWF82D75FC,36,Unspecified,Edo,Self-Employed,274818,True,2024-03-02,Referral
BRW4F5BF1AB,25,M,Plateau,Salaried,454415,True,2022-09-20,Referral
BRWACBC902A,23,F,Katsina,Gig Worker,55537,True,2022-04-22,Referral
BRW85A987CC,37,F,Rivers,Salaried,431185,True,2022-02-23,Organic
BRWA1584083,26,F,Lagos,Self-Employed,218570,False,2024-09-28,Agent
BRW95E9FE09,29,M,Oyo,Unemployed,0,True,2023-10-24,Organic
BRWCD5B90AB,49,M,Katsina,Gig Worker,50437,False,2022-02-08,Agent
BRW8821F400,22,F,Lagos,Gig Worker,43040,False,2023-02-11,Referral
BRW42973100,22,F,Plateau,Gig Worker,134332,True,2022-11-02,Social Media
BRW4E70AB59,20,F,Anambra,Unemployed,0,True,2024-08-19,Organic
BRWF3244DDE,33,M,Katsina,Salaried,139059,True,2022-09-21,Referral
BRWCCCE7B92,18,F,Borno,Salaried,234677,True,2023-09-18,Agent
BRW936CF676,58,M,Delta,Gig Worker,87538,True,2022-07-09,Agent
BRWB7114D9B,32,M,Borno,Unemployed,0,True,2022-12-04,Social Media
BRWFCAF8178,46,M,Rivers,Salaried,422718,True,2022-05-02,Social Media
BRW888AA030,22,F,Katsina,Gig Worker,140993,True,2023-12-08,Organic
BRWC08A99C8,59,M,Kano,Salaried,402240,True,2023-04-11,Referral
BRWFAA75CD7,38,F,Borno,Self-Employed,183978,True,2023-11-12,Referral
BRW3AA60B5A,49,F,Abuja,Gig Worker,98094,True,2023-06-25,Referral
BRWE56597A6,19,F,Plateau,Self-Employed,56189,True,2023-08-10,Social Media
BRWE115B3DA,22,M,Rivers,Gig Worker,77912,True,2023-05-16,Organic
BRW64808127,33,M,Delta,Gig Worker,79432,True,2022-03-01,Social Media
BRWAC3FF560,43,M,Edo,Salaried,91413,True,2022-08-12,Social Media
BRWE16F9FEE,19,M,Lagos,Salaried,113428,False,2022-03-12,Agent
BRW57C63F89,32,F,Borno,Salaried,174362,True,2024-01-17,Referral
BRW324F1262,30,F,Delta,Unemployed,0,True,2023-12-01,Agent
BRWB8E86B12,56,M,Anambra,Salaried,262331,True,2022-05-11,Referral
BRW867B036E,23,Unspecified,Enugu,Salaried,91919,True,2023-07-12,Social Media
BRW9B0A9FC0,28,M,Oyo,Salaried,321500,True,2024-06-15,Referral
BRW9A1C6867,20,F,Plateau,Gig Worker,74950,False,2022-01-17,Organic
BRW344706C7,19,F,Katsina,Self-Employed,157031,False,2022-09-08,Referral
BRWDFC57122,29,F,Borno,Salaried,193911,True,2023-05-31,Agent
BRW3E53CC3F,23,F,Imo,Unemployed,0,True,2022-08-31,Social Media
BRW33EF57BD,21,M,Oyo,Gig Worker,48972,True,2024-08-29,Social Media
BRWA31E237D,47,M,Enugu,Salaried,435860,True,2022-12-19,Agent
BRW033233D1,42,F,Delta,Gig Worker,61777,True,2023-01-21,Organic
BRWB18B65BE,34,M,Katsina,Salaried,198145,True,2023-04-20,Agent
BRWE459D648,35,M,Oyo,Unemployed,0,True,2023-10-25,Organic
BRW9C5C7C09,31,F,Rivers,Self-Employed,180413,True,2023-01-22,Referral
BRW1A6AED3D,38,F,Ogun,Gig Worker,44662,True,2023-07-27,Organic
BRWA1EDE936,23,M,Plateau,Unemployed,14934,True,2024-01-30,Organic
BRWE4BFCA58,64,F,Katsina,Self-Employed,103594,True,2024-07-26,Organic
BRW3E47D4B1,26,M,Kaduna,Salaried,324449,True,2023-01-04,Social Media
BRW4F207AD8,33,M,Edo,Salaried,458752,True,2022-07-28,Social Media
BRW14D6D160,29,F,Lagos,Self-Employed,98005,True,2024-08-15,Social Media
BRWC41B2FF0,46,M,Delta,Salaried,182860,True,2022-09-09,Social Media
BRW29E08A85,41,F,Enugu,Gig Worker,53728,False,2023-10-20,Referral
BRWE184B294,31,M,Katsina,Gig Worker,66160,True,2022-07-08,Agent
BRWA8B43DB3,34,M,Edo,Self-Employed,55396,False,2024-08-25,Referral
BRWE19610D1,19,F,Rivers,Salaried,152085,True,2022-06-04,Organic
BRW2E71575D,33,F,Plateau,Self-Employed,201961,True,2023-05-10,Referral
BRW4070E970,18,M,Anambra,Self-Employed,147829,True,2023-07-03,Agent
BRW97645820,18,M,Plateau,Gig Worker,108346,True,2024-07-29,Organic
BRW5405288E,21,M,Kaduna,Salaried,356014,True,2023-02-11,Organic
BRW687EA24C,62,Unspecified,Rivers,Self-Employed,103755,True,2024-04-27,Referral
BRW5E0D92E8,41,M,Delta,Gig Worker,119560,True,2023-07-20,Social Media
BRWCF0A3CFD,40,M,Delta,Gig Worker,30837,True,2022-12-06,Social Media
BRWBAC8187D,55,F,Rivers,Salaried,356907,True,2024-06-07,Referral
BRW5AD77C9F,35,F,Oyo,Salaried,118979,False,2023-08-01,Referral
BRW4CA98A50,22,F,Ogun,Gig Worker,22052,True,2024-04-20,Referral
BRWEA953BB3,29,F,Ogun,Salaried,165170,False,2023-02-03,Referral
BRW886644EB,34,M,Katsina,Self-Employed,233919,True,2023-05-28,Referral
BRWE794F3BE,27,F,Kaduna,Salaried,201710,True,2023-09-21,Agent
BRW68E1F0E2,29,F,Borno,Gig Worker,23883,False,2023-05-18,Organic
BRW632D777F,35,F,Imo,Self-Employed,88690,True,2024-03-01,Referral
BRWF9F6E15A,51,M,Delta,Gig Worker,30752,True,2023-10-12,Organic
BRW21B0A36C,28,M,Oyo,Self-Employed,63991,True,2024-02-19,Organic
BRW6AE79DF6,21,F,Anambra,Salaried,315323,True,2022-01-27,Organic
BRW57B2723B,35,M,Delta,Self-Employed,245635,True,2023-02-28,Social Media
BRWFD57F831,20,M,Delta,Unemployed,0,True,2022-10-03,Social Media
BRW7861E54C,33,M,Oyo,Salaried,307895,True,2022-03-20,Social Media
BRWF714B67E,61,F,Rivers,Gig Worker,84985,True,2022-05-19,Social Media
BRW7A7BC814,61,M,Edo,Salaried,405159,True,2022-12-09,Social Media
BRW6593D04E,53,M,Kaduna,Gig Worker,97908,True,2023-12-13,Organic
